observed_unix_seconds,origin,reachable,chunk_body_bytes,metadata_body_bytes,chunk_requests,disconnects,http_503s,error
1789756407.075953,http://127.0.0.1:61619,1,25947273,124970,382,54,1,
1789756407.376728,http://127.0.0.1:61619,1,25947273,124970,382,54,1,
1789756407.653622,http://127.0.0.1:61619,1,25947273,124970,382,54,1,
1789756407.925545,http://127.0.0.1:61619,1,25947273,124970,382,54,1,
1789756408.203763,http://127.0.0.1:61619,1,25947273,124970,382,54,1,
1789756408.4814131,http://127.0.0.1:61619,1,25947273,124970,382,54,1,
1789756408.75652,http://127.0.0.1:61619,1,25947273,124970,382,54,1,
1789756408.807758,http://127.0.0.1:61619,1,25947273,124970,382,54,1,
1789756409.030439,http://127.0.0.1:61619,1,25947273,186671,382,54,1,
1789756409.305932,http://127.0.0.1:61619,1,25980041,186671,386,55,1,
1789756409.580752,http://127.0.0.1:61619,1,26151871,186671,387,55,1,
1789756409.8558972,http://127.0.0.1:61619,1,26325389,186671,387,55,1,
1789756410.128125,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756410.440581,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756410.737893,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756411.009116,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756411.279348,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756411.555854,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756411.827212,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756412.105904,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756412.4096708,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756412.687412,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756412.961422,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756413.232887,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756413.5090702,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756413.6505852,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756413.786064,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756414.0809522,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756414.383554,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756414.656202,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756414.931932,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756415.205838,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756415.481486,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756415.796514,http://127.0.0.1:61619,1,26452103,186671,387,55,1,
1789756416.077739,http://127.0.0.1:61619,0,,,,,,<urlopen error [Errno 61] Connection refused>
1789756416.334372,http://127.0.0.1:61619,0,,,,,,<urlopen error [Errno 61] Connection refused>
1789756416.587664,http://127.0.0.1:61619,0,,,,,,<urlopen error [Errno 61] Connection refused>
1789756416.845106,http://127.0.0.1:61619,0,,,,,,<urlopen error [Errno 61] Connection refused>
1789756417.105824,http://127.0.0.1:61619,0,,,,,,<urlopen error [Errno 61] Connection refused>
